0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2790,"PIMPAL-PANERI NALLA
NEAR FINOLEX
INDUSTRIES,
YAHGANIGAON,
RATNAGIRI",DRAIN,MAHARASHTRA,24,30,3.7,,7.0,,6.6,7.9,146,56020,1.8,13.0,0.04,,0.80,,4,920,21,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923,"GURADIH NALLAH AT
PANPOSH",DRAIN,ODISHA,20,35,2.8,,8.0,,6.4,8.4,186,531,2.9,8.5,0.42,,14.99,,1100,160000,3500,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3930,"BANGURU NALLAH (OVER
BRIDGE TALCHER RENGALI
DAM ROAD,
SARKISOREPAL)",DRAIN,ODISHA,20,28,6.2,,9.2,,6.8,7.9,479,1408,0.4,1.9,0.16,,1.25,,20,1300,45,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3934,"GANDA NALLAH AT
MARTHAPUR",DRAIN,ODISHA,16,29,6.2,,8.1,,6.9,8.1,153,598,0.9,1.6,0.13,,7.74,,45,1300,92,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3939,KUNDRA NALLAH AT JODA,DRAIN,ODISHA,14,26,5.8,,8.6,,6.5,7.7,88,235,0.5,1.8,0.11,,0.62,,68,2400,170,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,"DHANAULA DRAIN
FALLING INTO LASSARA
DRAIN NEAR VILL.
DHUNAS, PUNJAB",DRAIN,PUNJAB,12,26,BDL,,BDL,,7.0,7.6,3112,5425,93.0,240.0,0.93,,4.61,,9400,2800000,210000,4300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,"HUDIARA DRAIN AT VILL.
DHAHUKE (WHERE IT
ENTERS PAKISTAN),
PUNJAB",DRAIN,PUNJAB,13,30,BDL,,BDL,,7.0,7.9,776,1766,46.0,110.0,2.00,,5.20,,33000,170000,70000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4158,"SAGARPARA DRAIN AT
VILL SAGRA DIST, PATIALA",DRAIN,PUNJAB,14,38,BDL,,2.9,,7.2,8.1,582,2787,16.0,288.0,0.40,,1.23,,2700,13000,21000,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056,"CHENNAI WATERWAYS AT
MAMBALAM DRAIN (GOLF
COURSE)",DRAIN,TAMIL NADU,,,,,,,7.0,7.6,1743,3180,28.0,54.0,0.45,,4.05,,110,110,1400,71600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,"OUTLET OF ASH POND
EFFLUENTS OF M/S.NTPC,
RAMAGUNDAM,
KARIMNAGAR",DRAIN,TELANGANA,26,29,1.0,,4.7,,9.0,11.5,648,1390,3.0,36.0,0.48,,11.60,,2,2,17,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,"TREATED EFFLUENTS OF
339 MLD STP, AMBERPET,
HYDERABAD BEFORE
JOINING TO MUSI,
HYDERABAD",DRAIN,TELANGANA,23,30,0.1,,6.1,,6.9,7.8,897,1499,9.0,30.0,3.00,,76.00,,8,79,79,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,"OUTLET OF STP,
LANGARHOUSE LAKE,
RANGA REDDY",DRAIN,TELANGANA,26,30,3.0,,5.7,,6.8,9.6,857,1284,5.0,44.0,0.48,,0.48,,2,23,32,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,"OUTLET OF STP, NAGOLE
ON RIVER MUSI, RANGA
REDDY",DRAIN,TELANGANA,24,31,0.1,,6.1,,7.2,7.7,977,1251,7.0,17.0,,,,,5,33,49,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,"OUTLET OF STP,
KHAIRATABAD ON
HUSSAINSAGAR LAKE,
RANGA REDDY",DRAIN,TELANGANA,25,30,2.0,,5.0,,6.9,7.5,903,1220,9.0,24.0,,,,,8,23,33,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,"OUTLET OF STP,
SAFILGUDA LAKE, RANGA
REDDY",DRAIN,TELANGANA,23,27,3.0,,6.4,,6.9,8.4,1098,1830,8.0,21.0,,,,,5,17,49,71600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,"OUTLET OF STP, DURGAM
CHERUVU, RANGAREDDY",DRAIN,TELANGANA,4,29,0.8,,27.0,,7.2,7.8,889,1657,10.0,45.0,,,,,2,27,33,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,"OUTLET OF STP,
NALLACHERUVU ON MUSI,
RANGAREDDY",DRAIN,TELANGANA,4,28,4.0,,25.0,,7.4,7.9,849,1717,10.0,33.0,,,,,2,49,2,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,"OUTLET OF STP, SAROOR
NAGAR, RANGAREDDY",DRAIN,TELANGANA,4,29,1.5,,26.0,,7.4,7.9,1195,1649,8.0,18.0,,,,,2,23,5,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,"OUTLET OF 4MLD STP ON
RIVER GODAVARI AT
RAMAGUNDAM,
KARIMNAGAR",DRAIN,TELANGANA,29,29,0.1,,1.0,,7.3,8.0,1254,1430,32.0,36.0,12.00,,12.00,,32,46,350,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,"OUTLET OF 14MLD STP ON
GODAVARI,
RAMAGUNDAM,
KARIMNAGAR",DRAIN,TELANGANA,29,29,0.1,,0.1,,7.7,7.7,1390,1390,38.0,38.0,13.00,,13.00,,24,24,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,"OUTLET OF STP ON
GODAVARI,
BHADRACHALAM,
KHAMMAM",DRAIN,TELANGANA,29,30,BDL,,0.1,,7.0,7.8,1423,1662,30.0,32.0,13.00,,16.00,,23,34,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2908,"OUTLET OF NADIALA
DRAIN INTO DHAKANSU
NALLAH, PUNJAB","INDUSTRIAL
DRAIN",PUNJAB,11,32,BDL,,BDL,,7.1,8.0,774,1392,17.0,100.0,0.53,,2.40,,3800,49000,28000,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2909,"TALLEWAL DRAIN AT
BRIDGE JALWALAN -
LOHGARH LINK ROAD","INDUSTRIAL
DRAIN",PUNJAB,11,27,BDL,,BDL,,7.1,8.0,715,2337,23.0,123.0,0.62,,2.20,,4900,26000,24000,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,"BRIDGE ON TUNG DHAB
DRAIN, FATENGARH","INDUSTRIAL
DRAIN",PUNJAB,13,30,BDL,,BDL,,6.7,7.8,1547,2850,154.0,298.0,2.40,,4.80,,63000,220000,150000,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CHURIAN ROAD,
AMRITSAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,"CHENNAI WATERWAYS AT
OTTERI NULLAH (ORIGIN)",NALLAH,TAMIL NADU,35,35,3.2,,3.2,,7.3,7.4,2370,3260,21.0,24.0,3.05,,6.50,,2,3500,210,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,"CHENNAI WATERWAYS AT
OTTERI NULLAH (KILPAUK
GARDEN)",NALLAH,TAMIL NADU,32,36,BDL,,3.4,,7.1,7.4,1186,3090,20.0,26.0,1.00,,9.30,,2,270,110,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,STP AT RAJAHMUNDRY,STP,"ANDHRA
PRADESH",25,30,2.1,,8.0,,6.7,8.1,,,8.0,27.0,,,,,11,21,150,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,PANAJI-1 TONCA,STP,GOA,,,,,,,5.9,8.3,,,3.2,700.0,,,,,24000000,24000000,54000000,54000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,"AHMEDABAD-1
BENRAMPURA",STP,GUJARAT,25,28,,,,,7.1,8.0,,,19.0,159.0,,,,,33,1600,350,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,"AHMEDABAD-2 NAROL
SARKHEJ HIGHWAY",STP,GUJARAT,28,30,,,,,7.1,7.5,,,24.0,109.0,,,,,46,1600,350,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,"STP NEAR PAMBA RIVER
AT PATHANAMTHITTA
KERALA",STP,KERALA,,,,,,,6.9,8.6,,,20.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,"STP, CUTTACK AT
MATTAGAJPUR",STP,ODISHA,,,,,,,6.7,7.1,,,3.5,200.5,,,,,54000,160000,54000,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,"STP, PURI AT
MANGALAGHAT",STP,ODISHA,,,,,,,6.9,7.8,,,14.5,172.7,,,,,2,160000,2,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,"WASTEWATER OF
TALCHER",STP,ODISHA,,,,,,,6.8,7.5,,,17.3,84.1,,,,,24000,160000,54000,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20021,JALANDHAR,STP,PUNJAB,,,,,,,7.2,7.4,,,28.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20022,"LUDHIANA-1, BHATTIAN",STP,PUNJAB,23,34,,,,,6.2,7.6,,,38.0,173.0,,,,,11000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20023,"LUDHIANA-2, BALLOKE",STP,PUNJAB,18,27,,,,,6.6,7.6,,,26.0,261.0,,,,,28000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20024,"LUDHIANA-3, JAMALPUR",STP,PUNJAB,24,34,,,,,6.8,7.7,,,75.0,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20025,PHAGWARA,STP,PUNJAB,,,,,,,6.8,7.9,,,26.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20026,PHILLAUR,STP,PUNJAB,,,,,,,7.8,8.9,,,26.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20027,KAPURTHALA,STP,PUNJAB,,,,,,,6.8,8.1,,,34.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20028,SULTANPUR LODHI,STP,PUNJAB,,,,,,,7.1,7.9,,,26.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20032,"CHENNAI-1 NESAPAKKAM
(ZONE-IV)",STP,TAMIL NADU,28,33,5.3,,5.5,,7.2,8.7,2240,2520,5.0,10.0,0.55,,0.95,,2,2,2,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20033,"CHENNAI-2
PERUNGADI(ZONE-V)",STP,TAMIL NADU,30,33,BDL,,BDL,,7.1,7.4,1641,1696,10.0,27.0,,,,,2,270,460,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20034,"CHENNAI-3KODUNGAIYUR
(ZONE I&II)",STP,TAMIL NADU,26,36,5.5,,5.5,,7.4,7.7,334,334,5.0,15.0,3.05,,3.05,,2,260,140,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20035,"CHENNAI-4 KOYAMBEDU
(ZONE-III)",STP,TAMIL NADU,26,33,1.8,,1.8,,7.4,7.7,2270,2270,5.0,13.0,1.05,,1.05,,2,330,200,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20038,ERODE-2,STP,TAMIL NADU,29,29,,,,,7.1,7.8,1496,1496,0.9,83.0,3.81,,3.81,,27,630,79,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20040,TRICHY,STP,TAMIL NADU,30,30,,,,,7.3,7.5,1218,1249,33.0,50.0,3.13,,9.00,,610,630,1500,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20041,KARUR,STP,TAMIL NADU,,,,,,,7.6,7.6,,,6.0,24.0,,,,,170,2200,350,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20043,"TIRCHIRAPPALLLI-
SRIRANGAM",STP,TAMIL NADU,30,30,,,,,7.3,7.5,1218,1249,33.0,50.0,3.11,,8.80,,610,630,1500,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20044,THANJAVUR,STP,TAMIL NADU,30,30,,,,,6.7,6.9,1332,1349,70.0,70.0,0.76,,2.00,,1200,1700,2800,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20045,TIRUNELVELI,STP,TAMIL NADU,26,26,,,,,6.8,6.8,1048,1048,2.5,2.5,0.40,,0.40,,1700,1700,7000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20047,KUMBAKONAM,STP,TAMIL NADU,30,32,,,,,6.9,7.1,1383,1414,75.0,80.0,1.95,,8.20,,1100,1400,2600,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20048,SWARG ASHRAM - 1,STP,UTTARAKHAND,19,21,9.2,,10.2,,7.9,8.1,105,292,1.0,1.0,,,,,40,60,110,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20049,"LAKKAR GHAT- OXIDATION
PONDS",STP,UTTARAKHAND,19,28,8.8,,10.2,,7.8,8.4,272,390,1.0,1.0,,,,,40,70,90,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,"WATER WORKS-
WAZIRABAD, DELHI","WATER
TREATMENT
PLANT
(RAW
WATER)",DELHI,,,8.6,,8.6,,7.8,8.0,351,527,1.2,1.2,0.04,,7.38,,1300,1700,2400,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,"WATER WORKS- SONIA
VIHAR, DELHI","WATER
TREATMENT
PLANT
(RAW
WATER)",DELHI,,,9.8,,9.8,,7.7,7.8,149,225,BDL,BDL,BDL,,1.90,,230,7000,1100,7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,"WATER WORKS-
CHANDRAVAL, DELHI","WATER
TREATMENT
PLANT
(RAW
WATER)",DELHI,,,8.6,,8.6,,7.8,8.0,351,527,1.2,1.2,0.04,,7.38,,1300,1700,2400,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,"WATER WORKS- NANGLOI,
DELHI","WATER
TREATMENT
PLANT
(RAW
WATER)",DELHI,,,7.8,,7.8,,7.4,7.6,189,280,BDL,1.7,1.91,,1.91,,170,3500,2200,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,"WATER WORKS-
HAIDERPUR, DELHI","WATER
TREATMENT
PLANT
(RAW
WATER)",DELHI,,,10.2,,10.2,,7.6,7.6,239,239,1.1,1.1,5.12,,5.12,,35000,35000,35000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,"WATER WORKS- DWARKA,
DELHI","WATER
TREATMENT
PLANT
(RAW
WATER)",DELHI,,,7.9,,7.9,,7.2,7.7,186,333,2.5,2.5,BDL,,1.41,,14,16000,25,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,"WATER WORKS-
GURGAON","WATER
TREATMENT
PLANT
(RAW
WATER)",HARYANA,,,,,,,7.1,7.5,209,322,1.8,3.2,0.41,,0.71,,170,2800,330,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,"WATER WORKS-
GHAZIABAD","WATER
TREATMENT
PLANT
(RAW
WATER)","UTTAR
PRADESH",,,,,,,7.1,7.5,164,751,BDL,BDL,0.40,,2.10,,2,3300,2,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WATER QUALITY DATA OF DRAINS UNDER NWMP (2020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",,"Station
Code","Name of Monitoring
Location",State Name,"Temperature
⁰C",,,Dissolve,,,"Conductivity
(µmhos/cm)",,pH,,BOD (mg/L),,"Nitrate-N +
Nitrite-N
(mg/l)",,"Fecal Coliform
(MPN/100ml)",,"Total Coliform
(MPN/100ml)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"d
Oxygen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Min Max,,"(mg/L)
Min Max",,,,Min Max,,Min Max,,Min Max,,Min Max,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,3052,"GUNTATHIPPA DRAIN B/C
WITH RYVES CANAL AT
RAMAVARAPPADU, KRISHNA,
A.P.","ANDHRA
PRADESH",25,27,4.8,,5.8,,1289,2100,6.8,7.7,3.4,12.8,2.5,10.5,3,3,1100,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3053,"TULIA BAGH DRAIN AT
VEMULAVADA, EAST
GODAVARI, A.P.","ANDHRA
PRADESH",26,29,1.2,,6,,940,23460,6.8,8.1,2.9,11.2,0.93,2.41,15,28,210,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3067s,"OUTLET OF STP ON
GODAVARI, RAJAHMUNDRY,
EAST GODAVARI, A.P.","ANDHRA
PRADESH",24,31,4.6,,8,,180,395,7.2,8.2,1.2,2.7,BDL,2.99,9,21,120,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4369,"COLLING WATER
BLOWDOWNS FROM ANDHRA
SUGARS LTD, TANUKU BEFORE
JOINING RIVER GODAVARI","ANDHRA
PRADESH",24,27,BDL,,7,,288,762,6.9,8,1.5,4.2,0.57,7.6,3,11,43,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,4373,"GOSTANI RIVER SAMPLE
AFTER CONFLUENCE WITH
M/S DELTA PAPEER MILL
EFFLUENTS, BENDRA,
PALAKODERU (M), BUT
BEFORE CONFLUENCE WITH
YANAMADURRU DRAIN","ANDHRA
PRADESH",23,27,BDL,,6.8,,452,5490,6.8,7.9,2.6,10.6,0.97,5.88,15,23,240,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2047,"N-CHOE (ATTAWA CHOE),
CHANDIGARH",CHANDIGARH,18.2,29,BDL,,0.6,,556,667,6.8,7.5,33,210,1.5,4.2,BDL,3200000,2.21,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,2048,"PATIALA KI RAO, CHANDIGARH",CHANDIGARH,17.3,31,BDL,,BDL,,848,1043,7.1,7.8,31,303,3.3,12,3.4,17500000,BDL,34500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2049,"SUKHNA CHOE, CHANDIGARH",CHANDIGARH,16.5,29,0.5,,1,,781,1099,7.1,7.5,113,202,0.76,4.7,2.2,7000000,1.41,22100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,4860,"RANIA DRAIN MEETING
DISCHARGE OF PHED STP, 6
MLD, RANIA, SIRSA",HARYANA,7.8,7.8,1.4,,8.2,,1170,4970,7.8,8.9,7,72,0.76,34,3600,180000,18000,470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,3861,"SALANI NALLAH NEAR BRIDGE,
NH-7, MOGINAND KALA AMB","HIMACHAL
PRADESH",21,30,6.2,,9,,335,711,7,7.8,BDL,2.4,BDL,0.96,10,70,34,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,3863,"RAMPUR JATTAN MOGINAND
NALA BEFORE CONFLUENCE
TO RIVER MARKANDA NEAR
RADHA SWAMI SATSANG
BHAWAN","HIMACHAL
PRADESH",20,26,5,,6.2,,399,1621,6.9,7.8,BDL,8,BDL,1.27,17,920,43,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,3865,"ROON NALLAH NEAR
MEERPUR KOTLA,
GURUDWARA","HIMACHAL
PRADESH",21,28,6.5,,7.5,,264,772,6.9,8.1,BDL,BDL,BDL,1.07,11,46,38,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,3867,"SARVARI NALLAH BEFORE
CONFLUENCE TO RIVER BEAS","HIMACHAL
PRADESH",5,18,8.7,,10.7,,119,187,7,7.9,BDL,BDL,0.38,0.71,23,63,94,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,3868,"BARAGRAM NALLAH BEFORE
CONFLUENCE TO RIVER BEAS","HIMACHAL
PRADESH",3,11,8.7,,11.2,,39,110,6.9,8.1,BDL,BDL,0.6,0.72,21,58,120,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,3875,"SURAJMUKHI NALLAH U/S
DWSS GALAYANA NEAR M/S
SHOOLINI UNIVERSITY","HIMACHAL
PRADESH",17,20,5.2,,8.3,,521,867,6.4,8.6,BDL,2.2,-,-,6,17,22,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WATER QUALITY DATA OF DRAINS UNDER NWMP (2020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",,"Station
Code","Name of Monitoring
Location",State Name,"Temperature
⁰C",,,Dissolve,,,"Conductivity
(µmhos/cm)",,pH,,BOD (mg/L),,"Nitrate-N +
Nitrite-N
(mg/l)",,"Fecal Coliform
(MPN/100ml)",,"Total Coliform
(MPN/100ml)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"d
Oxygen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Min Max,,"(mg/L)
Min Max",,,,Min Max,,Min Max,,Min Max,,Min Max,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,3879,"BHATIAN NALLAH U/S
BHATIAN VILLAGE, NALAGARH","HIMACHAL
PRADESH",22,35,1,,5,,1619,6030,6.6,8,1.2,48,-,-,7,120,26,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,3881,"BHATIAN NALLAH D/S SARA
TEXTILE, NALAGARH","HIMACHAL
PRADESH",25,35,0.5,,4.5,,409,5940,6.8,8.1,1.4,58,-,-,13,110,39,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,4029,"TAALO NALA (FROM NAHAR
TOWN) AT KHADDAR KA BAGH
B/C TO RIVER MARKANDA","HIMACHAL
PRADESH",18,25,6.8,,8,,368,631,6.8,7.8,BDL,1.7,BDL,1.39,11,46,38,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,4034,"SAHU NALLAH U/S BHURI
SINGH SHEP","HIMACHAL
PRADESH",3,18,8.3,,9.1,,204,393,7.1,7.9,BDL,BDL,BDL,0.79,2,2,17,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,4035,"SAHU NALLAH D/S BHURI
SINGH SHEP","HIMACHAL
PRADESH",3,18,8.3,,9,,150,399,7.2,8,BDL,BDL,BDL,1.35,2,2,24,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,4425,"RAW WATER FROM AT
CHURAT NALLAH","HIMACHAL
PRADESH",8.5,17,7.9,,9.8,,108,1858,7.5,8.3,BDL,2.3,BDL,1.1,2,23,6,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,4430,"LIFT NALLAH BEFORE
CONFLUENCE TO ASHWANI
KHAD NEAR DOGRHA BRIDGE","HIMACHAL
PRADESH",10.2,27,6,,8.7,,378,5751,7,8.1,2.4,87.5,1.61,8.26,110,1600,1600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
